WP, 11, 2015070312,   , BEST,   0, 092N, 1718E,  25, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1005,  175,  50,   0,   0,   W,   0,   X, 315,   5,     ELEVEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112015, JTWC, NCEP_TCVITALS, 
WP, 11, 2015070318,   , BEST,   0, 094N, 1702E,  30,  999, XX,  34, NEQ,    0,    0,    0,    0, 1007,  180,  50,   0,   0,   W,   0,   X, 290,   9,     ELEVEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112015, JTWC, NCEP_TCVITALS, 
WP, 11, 2015070400,   , BEST,   0, 098N, 1697E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1006,  180,  45,   0,   0,   W,   0,   X, 290,   9,     NANGKA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112015, JTWC, NCEP_TCVITALS, 
WP, 11, 2015070406,   , BEST,   0, 109N, 1689E,  40,  993, XX,  34, NEQ,   60,   30,   30,   60, 1006,  190,  45,   0,   0,   W,   0,   X, 305,  10,     NANGKA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112015, JTWC, NCEP_TCVITALS, 
WP, 11, 2015070412,   , BEST,   0, 113N, 1671E,  50,  985, XX,  34, NEQ,   60,   30,   30,   60, 1007,  195,  45,   0,   0,   W,   0,   X, 295,  13,     NANGKA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112015, JTWC, NCEP_TCVITALS, 
WP, 11, 2015070418,   , BEST,   0, 113N, 1659E,  50,  985, XX,  34, NEQ,   65,   55,   45,   60, 1007,  195,  40,   0,   0,   W,   0,   X, 290,  13,     NANGKA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112015, JTWC, NCEP_TCVITALS, 
WP, 11, 2015070500,   , BEST,   0, 111N, 1647E,  50,  985, XX,  34, NEQ,   75,   60,   50,   60, 1006,  185,  35,   0,   0,   W,   0,   X, 270,  13,     NANGKA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112015, JTWC, NCEP_TCVITALS, 
WP, 11, 2015070506,   , BEST,   0, 113N, 1638E,  50,  985, XX,  34, NEQ,   85,   70,   55,   75, 1007,  190,  30,   0,   0,   W,   0,   X, 270,  11,     NANGKA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112015, JTWC, NCEP_TCVITALS, 
WP, 11, 2015070512,   , BEST,   0, 112N, 1624E,  50,  985, XX,  34, NEQ,   85,   70,   55,   75, 1008,  190,  30,   0,   0,   W,   0,   X, 270,  11,     NANGKA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112015, JTWC, NCEP_TCVITALS, 
WP, 11, 2015070518,   , BEST,   0, 113N, 1608E,  50,  985, XX,  34, NEQ,   95,   90,   70,   75, 1008,  200,  30,   0,   0,   W,   0,   X, 270,  13,     NANGKA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112015, JTWC, NCEP_TCVITALS, 
WP, 11, 2015070600,   , BEST,   0, 116N, 1597E,  60,  978, XX,  34, NEQ,   95,   90,   75,   80, 1007,  215,  30,   0,   0,   W,   0,   X, 275,  12,     NANGKA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112015, JTWC, NCEP_TCVITALS, 
WP, 11, 2015070606,   , BEST,   0, 118N, 1587E,  70,  970, XX,  34, NEQ,   95,   90,   95,   80, 1007,  210,  12,   0,   0,   W,   0,   X, 280,  11,     NANGKA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112015, JTWC, NCEP_TCVITALS, 
WP, 11, 2015070612,   , BEST,   0, 122N, 1577E,  80,  963, XX,  34, NEQ,   95,   90,   95,   80, 1008,  210,  15,   0,   0,   W,   0,   X, 285,  11,     NANGKA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112015, JTWC, NCEP_TCVITALS, 
WP, 11, 2015070618,   , BEST,   0, 127N, 1567E,  80,  963, XX,  34, NEQ,   95,   90,   95,   80, 1008,  210,  15,   0,   0,   W,   0,   X, 290,  11,     NANGKA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112015, JTWC, NCEP_TCVITALS, 
WP, 11, 2015070700,   , BEST,   0, 130N, 1556E,  95,  952, XX,  34, NEQ,   95,   90,   95,   80, 1006,  200,  12,   0,   0,   W,   0,   X, 290,  11,     NANGKA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112015, JTWC, NCEP_TCVITALS, 
WP, 11, 2015070706,   , BEST,   0, 136N, 1546E, 110,  941, XX,  34, NEQ,  105,   95,  105,  100, 1006,  215,  17,   0,   0,   W,   0,   X, 295,  11,     NANGKA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112015, JTWC, NCEP_TCVITALS, 
WP, 11, 2015070712,   , BEST,   0, 143N, 1534E, 120,  933, XX,  34, NEQ,   95,   90,   90,   90, 1006,  215,  15,   0,   0,   W,   0,   X, 300,  12,     NANGKA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112015, JTWC, NCEP_TCVITALS, 
WP, 11, 2015070718,   , BEST,   0, 150N, 1522E, 120,  933, XX,  34, NEQ,   95,   90,   90,   90, 1008,  215,  12,   0,   0,   W,   0,   X, 300,  13,     NANGKA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP112015, JTWC, NCEP_TCVITALS, 
